CD_DIST,NM_DIST,M >= 70 ANOS,F >= 70 ANOS,AREA_KM2,POP_TOTAL
140002705,Amajari,12,0,"28473,4497513",13927
140005005,Alto Alegre,42,0,"25454,2974210",21096
140010005,Boa Vista,767,3,"5687,0372998",413486
140015905,Bonfim,8,0,"8079,9139160",13923
140017505,Cantá,28,0,"7664,8311993",18682
140020905,Caracaraí,44,0,"47379,6882374",20957
140023305,Caroebe,20,0,"12065,8963865",10656
140028205,Iracema,12,0,"14011,6951132",10023
140030805,Mucajaí,49,0,"12337,8510812",18095
140040705,Normandia,28,0,"6959,8684566",13986
140045605,Pacaraima,14,0,"8025,0445413",19305
140047205,Rorainópolis,56,0,"33579,7388368",32647
140050605,São João da Baliza,12,0,"4284,5050289",8858
140060505,São Luiz,7,0,"1526,8984847",7315
140070405,Uiramutã,0,0,"8113,5985030",13751
150010705,Abaetetuba,445,0,"1405,7020295",149159
150010710,Beja,16,0,"204,9437880",9029
150013105,Abel Figueiredo,14,0,"614,1311459",6136
150020605,Acará,93,0,"3269,4971932",38322
150020610,Guajará-Miri,43,0,"611,2478896",12880
150020615,Jaguarari,7,0,"463,6420455",7821
150030505,Afuá,78,3,"8338,4392535",37765
150034705,Água Azul do Norte,30,0,"7113,9560775",18080
150040405,Alenquer,255,0,"23644,3854659",69377
150050305,Almeirim,89,3,"43377,0749917",24403
150050310,Arumanduba,0,0,"4729,8296704",3408
150050315,Monte Dourado,9,0,"24849,2679650",6469
150060205,Altamira,291,0,"107296,9979111",110337
150060206,Cachoeira da Serra,5,0,"25363,3062446",3942
150060207,Castelo dos Sonhos,9,0,"26873,0021530",12000
150070105,Anajás,44,0,"6913,6399885",28011
150080005,Ananindeua,1342,0,"190,5900783",478778
150085905,Anapu,72,0,"11895,2700287",31850
150090905,Augusto Corrêa,75,0,"148,5823635",22012
150090910,Aturiaí,20,0,"525,6698995",10665
150090915,Emboraí,6,0,"218,4788059",6381
150090920,Itapixuna,18,0,"206,8486425",5515
150095805,Aurora do Pará,52,0,"1811,8400624",23774
150100605,Aveiro,16,0,"2588,1354457",8218
150100610,Brasília Legal,4,0,"9964,3059779",7930
150100615,Pinhel,3,0,"4521,6113956",2142
150110505,Bagre,28,0,"3660,7663767",31606
150110510,Pedreira,0,0,"736,5549502",286
150120405,Baião,41,0,"762,2364357",31588
150120410,Joana Peres,14,0,"2114,1837925",6857
150120420,São Joaquim do Ituquara,13,0,"529,6120894",8419
150120430,Umarizal do Tocantins,4,0,"353,9681254",4777
150125305,Bannach,7,0,"2956,6487480",4031
150130305,Barcarena,178,0,"1040,4123911",87562
150130310,Murucupi,44,0,"269,9251367",39088
150140205,Belém,1101,0,"14,0045775",140032
150140245,Bengui,788,0,"34,4726243",275694
150140250,Entroncamento,553,0,"68,4892672",123825
150140255,Guamá,1451,0,"14,8672264",283619
150140260,Icoaraci,495,0,"35,7381167",171524
150140265,Mosqueiro,145,0,"459,1625591",38385
150140267,Outeiro,97,0,"417,5162363",39478
150140275,Sacramenta,1203,0,"15,2071217",230846
150145105,Belterra,38,0,"4398,4181687",18099
150150105,Benevides,61,0,"85,2380189",35663
150150110,Benfica,56,0,"102,5881135",27904
150157605,Bom Jesus do Tocantins,56,0,"2816,6043013",18005
150160005,Bonito,29,0,"586,9767638",12622
150170905,Bragança,376,0,"562,4786956",93543
150170910,Almoço,3,0,"217,8900807",2696
150170915,Caratateua,27,0,"68,9072968",10154
150170920,Nova Mocajuba,7,0,"396,4356790",2935
150170930,Tijoca,15,0,"837,2074037",9394
150170940,Treme,17,0,"41,8157536",4360
150172505,Brasil Novo,56,0,"6362,5751329",24718
150175805,Brejo Grande do Araguaia,18,0,"1044,7583140",5225
150175815,São Raimundo do Araguaia,5,0,"243,7146274",1558
150178205,Breu Branco,98,0,"3941,7362126",45712
150180805,Breves,183,0,"1535,5047665",66259
150180810,Antônio Lemos,19,0,"1209,1444561",8091
150180815,Curumu,22,0,"3237,5490310",17384
150180820,São Miguel dos Macacos,14,0,"3584,2998666",15234
150190705,Bujaru,58,0,"609,4690384",18495
150190710,Guajará-Açu,5,0,"385,1934148",5888
150195605,Cachoeira do Piriá,41,0,"2419,6000135",19630
150200405,Cachoeira do Arari,51,0,"3100,2613422",23981
150210305,Cametá,249,0,"974,8850892",75881
150210307,Areião,13,0,"60,3607298",1932
150210310,Carapajó,25,0,"123,9853321",10793
150210315,Curuçambaba,6,0,"293,9304358",10452
150210320,Janua Coeli,10,0,"190,4928958",9388
150210325,Juaba,25,0,"511,9760407",15936
150210330,Moiraba,0,0,"218,0370656",3280
150210336,Torres do Cupijó,0,0,"424,6627322",2862
150210340,Vila do Carmo do Tocantins,19,0,"283,8597563",3660
150215205,Canaã dos Carajás,56,0,"3146,7485023",77079
150220205,Capanema,236,0,"395,1648324",62946
150220210,Mirasselvas,15,0,"113,5949000",4588
150220215,Tauari,5,0,"112,7230561",2860
150230105,Capitão Poço,120,0,"2901,0258381",56506
150240005,Castanhal,458,0,"894,9517428",185078
150240010,Apeú,9,0,"134,3480607",7178
150250905,Chaves,37,0,"10478,2596255",18047
150250910,São Sebastião de Viçosa,0,0,"2056,7352404",2710
150260805,Colares,26,0,"384,0678842",12868
150270705,Conceição do Araguaia,193,0,"5829,4819979",44617
150275605,Concórdia do Pará,56,4,"700,6141333",26881
150276405,Cumaru do Norte,22,0,"17085,0005514",14036
150277205,Curionópolis,80,0,"2369,0963404",19950
150280605,Curralinho,59,0,"1276,6667634",22472
150280610,Piriá,9,0,"2340,6835329",11431
150285505,Curuá,26,0,"1431,3507343",14117
150290505,Curuçá,74,0,"268,8426532",26729
150290520,Lauro Sodré,0,0,"133,5316206",5695
150290525,Murajá,24,0,"97,5258511",3366
150290540,Ponta de Ramos,7,0,"176,4215684",5472
150293905,Dom Eliseu,74,0,"5268,8085755",58484
150295405,Eldorado do Carajás,72,0,"2956,6914362",28192
150300205,Faro,24,0,"11670,8348527",7611
150300208,Nova Maracanã,11,0,"100,8342190",1117
150304405,Floresta do Araguaia,25,0,"2284,8954793",14648
150304410,Bela Vista,3,0,"1159,3893006",3250
150307705,Garrafão do Norte,48,0,"1608,0143944",24703
150309305,Goianésia do Pará,48,0,"7023,9320683",26362
150310105,Gurupá,68,0,"5726,9892997",24108
150310110,Carrazedo,3,0,"1162,1358581",2438
150310115,Itatupã,3,0,"1680,5509953",5240
150320005,Igarapé-Açu,116,0,"434,4597854",29729
150320010,Caripi,23,0,"351,5229855",6068
150330905,Igarapé-Miri,98,0,"1139,9338878",40682
150330910,Maiauatá,52,0,"856,8640535",24149
150340805,Inhangapi,28,0,"472,6048694",10325
150345705,Ipixuna do Pará,32,0,"5215,5553135",30329
150350705,Irituia,103,0,"1385,2089234",30955
150360605,Itaituba,256,0,"49383,3043913",112817
